timestamp_iso,timestamp_ms,node_id,ext_addr,temp_c,humidity_pct,soil_raw,soil_pct,light_raw,light_lux,vpd_kpa,rssi_dbm
2025-12-01T13:32:20.632Z,1764595940632,0x1,0x124b00330e3c0e,16.3,45.42,7389,73.9,93,93,1.012,-59
2025-12-01T13:33:50.628Z,1764596030628,0x1,0x124b00330e3c0e,16.3,45.4,7355,73.5,94,94,1.012,-61
2025-12-01T13:35:20.628Z,1764596120628,0x1,0x124b00330e3c0e,16.29,45.48,7334,73.3,93,93,1.01,-60
2025-12-01T13:36:50.625Z,1764596210625,0x1,0x124b00330e3c0e,16.3,45.63,7307,73.1,92,92,1.008,-59
2025-12-01T13:38:20.625Z,1764596300625,0x1,0x124b00330e3c0e,16.29,45.6,7287,72.9,92,92,1.008,-59
2025-12-01T13:39:50.624Z,1764596390624,0x1,0x124b00330e3c0e,16.3,45.61,7260,72.6,92,92,1.008,-58
2025-12-01T13:41:20.614Z,1764596480614,0x1,0x124b00330e3c0e,16.29,45.48,7239,72.4,92,92,1.01,-57
2025-12-01T13:42:50.617Z,1764596570617,0x1,0x124b00330e3c0e,16.31,45.46,7219,72.2,92,92,1.012,-56
2025-12-01T13:44:20.617Z,1764596660617,0x1,0x124b00330e3c0e,16.32,45.4,7205,72,92,92,1.013,-61
2025-12-01T13:45:50.608Z,1764596750608,0x1,0x124b00330e3c0e,16.31,45.51,7185,71.8,92,92,1.011,-58
2025-12-01T13:47:20.607Z,1764596840607,0x1,0x124b00330e3c0e,16.31,45.5,7185,71.8,92,92,1.011,-58
2025-12-01T13:48:50.602Z,1764596930602,0x1,0x124b00330e3c0e,16.3,45.47,7164,71.6,94,94,1.011,-59
2025-12-01T13:50:20.603Z,1764597020603,0x1,0x124b00330e3c0e,16.3,45.53,7151,71.5,93,93,1.01,-59
2025-12-01T13:51:50.597Z,1764597110597,0x1,0x124b00330e3c0e,16.3,45.62,7137,71.4,95,95,1.008,-60
2025-12-01T13:53:20.593Z,1764597200593,0x1,0x124b00330e3c0e,16.3,45.55,7124,71.2,95,95,1.009,-59
2025-12-01T13:54:50.594Z,1764597290594,0x1,0x124b00330e3c0e,16.3,45.29,7117,71.2,94,94,1.014,-60
2025-12-01T13:56:20.595Z,1764597380595,0x1,0x124b00330e3c0e,16.29,45.07,7110,71.1,94,94,1.017,-59
2025-12-01T13:57:50.591Z,1764597470591,0x1,0x124b00330e3c0e,16.28,44.9,7103,71,94,94,1.02,-59
2025-12-01T13:59:20.587Z,1764597560587,0x1,0x124b00330e3c0e,16.27,44.82,7090,70.9,94,94,1.021,-60
2025-12-01T14:00:50.582Z,1764597650582,0x1,0x124b00330e3c0e,16.27,44.7,7083,70.8,95,95,1.023,-59
2025-12-01T14:02:20.583Z,1764597740583,0x1,0x124b00330e3c0e,16.25,44.59,7069,70.7,94,94,1.024,-59
2025-12-01T14:03:50.578Z,1764597830578,0x1,0x124b00330e3c0e,16.24,44.56,7069,70.7,94,94,1.024,-59
2025-12-01T14:05:20.570Z,1764597920570,0x1,0x124b00330e3c0e,16.27,44.52,7062,70.6,95,95,1.026,-59
2025-12-01T14:06:50.559Z,1764598010559,0x1,0x124b00330e3c0e,16.24,44.45,7056,70.6,94,94,1.026,-58
2025-12-01T14:08:20.551Z,1764598100551,0x1,0x124b00330e3c0e,16.25,44.4,7042,70.4,94,94,1.027,-59
2025-12-01T14:09:50.544Z,1764598190544,0x1,0x124b00330e3c0e,16.24,44.3,7042,70.4,94,94,1.028,-59
2025-12-01T14:11:20.541Z,1764598280541,0x1,0x124b00330e3c0e,16.24,44.33,6954,69.5,94,94,1.028,-59
2025-12-01T14:12:50.538Z,1764598370538,0x1,0x124b00330e3c0e,16.22,44.25,7022,70.2,94,94,1.028,-59
2025-12-01T14:14:20.530Z,1764598460530,0x1,0x124b00330e3c0e,16.22,44.24,7022,70.2,94,94,1.028,-59
2025-12-01T14:15:50.520Z,1764598550520,0x1,0x124b00330e3c0e,16.21,44.14,7015,70.2,95,95,1.029,-59
2025-12-01T14:17:20.519Z,1764598640519,0x1,0x124b00330e3c0e,16.2,44.14,7008,70.1,95,95,1.029,-59
2025-12-01T14:18:50.514Z,1764598730514,0x1,0x124b00330e3c0e,16.22,44.13,6995,70,94,94,1.03,-60
2025-12-01T14:20:20.504Z,1764598820504,0x1,0x124b00330e3c0e,16.19,44.12,7001,70,95,95,1.028,-59
2025-12-01T14:21:50.501Z,1764598910501,0x1,0x124b00330e3c0e,16.2,44.13,6995,70,95,95,1.029,-59
2025-12-01T14:23:20.495Z,1764599000495,0x1,0x124b00330e3c0e,16.18,44.09,6995,70,94,94,1.028,-60
2025-12-01T14:24:50.490Z,1764599090490,0x1,0x124b00330e3c0e,16.19,44,6981,69.8,94,94,1.031,-59
2025-12-01T14:26:20.492Z,1764599180492,0x1,0x124b00330e3c0e,16.19,44.02,6974,69.7,94,94,1.03,-59
2025-12-01T14:27:50.482Z,1764599270482,0x1,0x124b00330e3c0e,16.2,44.03,6974,69.7,95,95,1.031,-59
2025-12-01T14:29:20.479Z,1764599360479,0x1,0x124b00330e3c0e,16.17,44.05,6967,69.7,95,95,1.028,-59
2025-12-01T14:30:50.480Z,1764599450480,0x1,0x124b00330e3c0e,16.16,44.02,6967,69.7,94,94,1.028,-60
2025-12-01T14:32:20.477Z,1764599540477,0x1,0x124b00330e3c0e,16.15,44.04,6961,69.6,94,94,1.027,-59
2025-12-01T14:33:50.468Z,1764599630468,0x1,0x124b00330e3c0e,16.15,43.99,6954,69.5,94,94,1.028,-59
2025-12-01T14:35:20.461Z,1764599720461,0x1,0x124b00330e3c0e,16.16,43.92,6954,69.5,95,95,1.03,-59
2025-12-01T14:36:50.462Z,1764599810462,0x1,0x124b00330e3c0e,16.15,43.93,6947,69.5,94,94,1.029,-59
2025-12-01T14:38:20.457Z,1764599900457,0x1,0x124b00330e3c0e,16.15,43.98,7035,70.3,94,94,1.028,-60
2025-12-01T14:39:50.452Z,1764599990452,0x1,0x124b00330e3c0e,16.13,43.94,6940,69.4,94,94,1.028,-59
2025-12-01T14:41:20.449Z,1764600080449,0x1,0x124b00330e3c0e,16.15,43.93,6940,69.4,94,94,1.029,-59
